station,lat,lon,n_years,years
02171099999,65.8166666,21.6333333,6,2015;2016;2017;2018;2019;2020
02173099999,65.6666666,21.0666666,6,2015;2016;2017;2018;2019;2020
02174099999,66.2833333,21.1333333,6,2015;2016;2017;2018;2019;2020
02176099999,65.0333333,21.5666666,6,2015;2016;2017;2018;2019;2020
02181099999,66.2666666,22.85,6,2015;2016;2017;2018;2019;2020
02184099999,66.8166666,22.3333333,6,2015;2016;2017;2018;2019;2020
02186099999,65.543758,22.121989,6,2015;2016;2017;2018;2019;2020
02188099999,65.3166666,22.3833333,6,2015;2016;2017;2018;2019;2020
02191099999,65.7,23.1,6,2015;2016;2017;2018;2019;2020
02197099999,65.8166666,24.1166666,6,2015;2016;2017;2018;2019;2020
02199099999,66.6166666,23.4666666,6,2015;2016;2017;2018;2019;2020
02207099999,63.2833333,12.1166666,6,2015;2016;2017;2018;2019;2020
02209099999,63.05,12.2833333,6,2015;2016;2017;2018;2019;2020
02210099999,63.1833333,12.1666666,6,2015;2016;2017;2018;2019;2020
02216099999,63.3,13.8833333,2,2015;2016
02217099999,63.3666666,13.1666666,2,2015;2016
02219099999,64.5,14.2166666,6,2015;2016;2017;2018;2019;2020
02221099999,63.8333333,13.5,6,2015;2016;2017;2018;2019;2020
02226099999,63.2,14.5,6,2015;2016;2017;2018;2019;2020
02230099999,64.2166666,15.55,6,2015;2016;2017;2018;2019;2020
02231099999,63.6833333,14.6,6,2015;2016;2017;2018;2019;2020
02233099999,64.9666666,15.3833333,2,2015;2016
02236099999,63.7666666,15.3333333,6,2015;2016;2017;2018;2019;2020
02242099999,64.0833333,16.2333333,6,2015;2016;2017;2018;2019;2020
02243099999,63.6833333,16.95,6,2015;2016;2017;2018;2019;2020
02245099999,64.5833333,16.85,6,2015;2016;2017;2018;2019;2020
02245599999,64.548322,18.716219,6,2015;2016;2017;2018;2019;2020
02247099999,63.15,16.1666666,6,2015;2016;2017;2018;2019;2020
02254099999,64.1666666,17.3166666,6,2015;2016;2017;2018;2019;2020
02256099999,64.7333333,17.4,2,2015;2016
02259099999,63.048597,17.768856,6,2015;2016;2017;2018;2019;2020
02260099999,63.1333333,18.25,6,2015;2016;2017;2018;2019;2020
02261099999,64.55,18.7166666,6,2015;2016;2017;2018;2019;2020
02263099999,64.0833333,18.3666666,6,2015;2016;2017;2018;2019;2020
02265099999,63.65,18.55,6,2015;2016;2017;2018;2019;2020
02267099999,63.408339,18.990039,6,2015;2016;2017;2018;2019;2020
02269099999,63.1833333,19.0166666,6,2015;2016;2017;2018;2019;2020
02271099999,64.9333333,19.3833333,6,2015;2016;2017;2018;2019;2020
02282099999,64.5666666,19.7,6,2015;2016;2017;2018;2019;2020
02284099999,63.4333333,19.6833333,6,2015;2016;2017;2018;2019;2020
02286099999,63.791828,20.282758,6,2015;2016;2017;2018;2019;2020
02287099999,63.8,20.8666666,6,2015;2016;2017;2018;2019;2020
02292099999,64.4333333,21.2833333,2,2015;2016
02293099999,64.624772,21.076892,6,2015;2016;2017;2018;2019;2020
02297099999,64.4833333,21.5833333,6,2015;2016;2017;2018;2019;2020
02302099999,61.8333333,12.2833333,2,2015;2016
02303099999,62.7333333,12.7333333,2,2015;2016
02306099999,61.133,12.817,1,2017
02307099999,61.8833333,12.85,6,2015;2016;2017;2018;2019;2020
02308099999,62.45,12.6666666,6,2015;2016;2017;2018;2019;2020
02311099999,61.15,13.1166666,2,2015;2016
02314199999,58.017,16.067,4,2016;2017;2018;2019
02317099999,62.1,13.6166666,6,2015;2016;2017;2018;2019;2020
02318099999,61.167,13.017,2,2015;2016
02319099999,62.75,13.85,6,2015;2016;2017;2018;2019;2020
02319199999,57.417,13.283,5,2016;2017;2018;2019;2020
02320199999,57.967,13.85,5,2016;2017;2018;2019;2020
02321099999,61.25,14.0333333,6,2015;2016;2017;2018;2019;2020
02325099999,62.5,14.15,6,2015;2016;2017;2018;2019;2020
02327099999,62.05,14.4,6,2015;2016;2017;2018;2019;2020
02329099999,61.6666666,15.0,6,2015;2016;2017;2018;2019;2020
02331099999,62.75,15.0833333,6,2015;2016;2017;2018;2019;2020
02332199999,57.15,15.667,5,2016;2017;2018;2019;2020
02337099999,62.2666666,15.6666666,2,2015;2016
02338099999,61.3666666,15.7166666,6,2015;2016;2017;2018;2019;2020
02343099999,62.5,16.2833333,6,2015;2016;2017;2018;2019;2020
02345199999,55.633,13.7,5,2016;2017;2018;2019;2020
02347099999,61.8333333,16.55,6,2015;2016;2017;2018;2019;2020
02349099999,62.7666666,16.7333333,2,2015;2016
02354099999,62.4333333,17.35,2,2015;2016
02355099999,61.7,17.5333333,6,2015;2016;2017;2018;2019;2020
02366099999,62.528125,17.443928,6,2015;2016;2017;2018;2019;2020
02368099999,62.2166666,17.75,6,2015;2016;2017;2018;2019;2020
