station,lat,lon,n_years_ok,total_hours,common_hours,has_valid_month_1pt_fixed12,has_valid_month_2pt_fixed_00_12,has_valid_month_1pt_daily_mean,has_valid_month_2pt_dynamic,has_valid_month_baseline,has_valid_month_scaled
02188099999,65.3166666,22.3833333,6,51067,0,False,False,False,False,False,False
02191099999,65.7,23.1,6,51528,0,False,False,False,False,False,False
02197099999,65.8166666,24.1166666,6,51600,42254,True,True,True,True,True,True
02199099999,66.6166666,23.4666666,6,51382,41902,True,True,True,True,True,True
02207099999,63.2833333,12.1166666,6,51189,45820,True,True,True,True,True,True
02209099999,63.05,12.2833333,6,49169,44161,True,True,True,True,True,True
02210099999,63.1833333,12.1666666,6,49479,44913,True,True,True,True,True,True
02216099999,63.3,13.8833333,2,11118,10891,True,True,True,True,True,True
02217099999,63.3666666,13.1666666,2,10781,10575,True,True,True,True,True,True
02219099999,64.5,14.2166666,6,51904,46724,True,True,True,True,True,True
02221099999,63.8333333,13.5,6,50194,45283,True,True,True,True,True,True
02226099999,63.2,14.5,6,52368,47538,True,True,True,True,True,True
02230099999,64.2166666,15.55,6,51493,46373,True,True,True,True,True,True
02231099999,63.6833333,14.6,6,51496,50789,True,True,True,True,True,True
02233099999,64.9666666,15.3833333,2,11006,8678,True,True,True,True,True,True
02236099999,63.7666666,15.3333333,6,51523,46466,True,True,True,True,True,True
02242099999,64.0833333,16.2333333,6,51015,45948,True,True,True,True,True,True
02243099999,63.6833333,16.95,6,51285,46239,True,True,True,True,True,True
02245099999,64.5833333,16.85,6,49929,45448,True,True,True,True,True,True
02245599999,64.548322,18.716219,6,51733,46046,True,True,True,True,True,True
02247099999,63.15,16.1666666,6,51675,51086,True,True,True,True,True,True
02254099999,64.1666666,17.3166666,6,51684,46539,True,True,True,True,True,True
02256099999,64.7333333,17.4,2,10802,9725,True,True,True,True,True,True
02259099999,63.048597,17.768856,6,51289,50455,True,True,True,True,True,True
02260099999,63.1333333,18.25,6,51211,45986,True,True,True,True,True,True
02261099999,64.55,18.7166666,6,49775,44606,True,True,True,True,True,True
02263099999,64.0833333,18.3666666,6,51064,45927,True,True,True,True,True,True
02265099999,63.65,18.55,6,51471,50705,True,True,True,True,True,True
02267099999,63.408339,18.990039,6,52386,52111,True,True,True,True,True,True
02269099999,63.1833333,19.0166666,6,51568,46420,True,True,True,True,True,True
02271099999,64.9333333,19.3833333,6,50804,45647,True,True,True,True,True,True
02282099999,64.5666666,19.7,6,51572,46281,True,True,True,True,True,True
02284099999,63.4333333,19.6833333,6,51332,0,False,False,False,False,False,False
02286099999,63.791828,20.282758,6,52413,47663,True,True,True,True,True,True
02287099999,63.8,20.8666666,6,51896,0,False,False,False,False,False,False
02292099999,64.4333333,21.2833333,2,11092,8052,True,True,True,True,True,True
02293099999,64.624772,21.076892,6,52259,42877,True,True,True,True,True,True
02297099999,64.4833333,21.5833333,6,51513,0,False,False,False,False,False,False
02302099999,61.8333333,12.2833333,2,8664,8193,True,True,True,True,True,True
02303099999,62.7333333,12.7333333,2,11009,9837,True,True,True,True,True,True
02306099999,61.133,12.817,1,1,0,False,False,False,False,False,False
